site_id,fuel_id
10103,39
10103,40
10103,42
10103,47
10104,22
10104,23
10105,39
10105,40
10105,42
10107,22
10107,23
10108,22
10108,23
10111,39
10111,40
10111,42
10116,42
10117,22
10117,23
10120,39
10120,40
10120,42
10120,47
10124,39
10124,40
10124,42
10128,39
10128,40
10128,42
10128,47
10135,39
10135,40
10135,42
10135,47
10140,39
10140,40
10140,42
10142,39
10142,40
10142,42
10142,47
10145,22
10145,23
10146,39
10146,40
10146,42
10151,39
10151,40
10151,42
10154,22
10154,23
10155,39
10155,40
10155,42
10156,39
10156,40
10156,42
10157,39
10157,40
10157,42
10157,47
10158,22
10158,23
10160,22
10160,23
10169,39
10169,40
10169,42
10171,39
10171,40
10171,42
10171,47
10172,39
10172,40
10172,42
10172,47
10177,22
10177,23
10189,39
10189,40
10189,42
10191,39
10191,40
10191,42
10191,47
10195,39
10195,40
10195,42
10198,22
10198,23
10199,22
10199,23
10201,39
10201,40
10201,42
10201,47
10206,22
10206,23
10208,22
10208,23
10210,39
10210,40
10210,42
10210,47
10212,39
10212,40
10212,42
10213,39
10213,40
10213,42
10213,47
10216,22
10216,23
10224,22
10224,23
10226,22
10226,23
10228,39
10228,40
10228,42
10228,47
10229,39
10229,40
10229,42
10230,39
10230,40
10230,42
10230,47
10234,39
10234,40
10234,42
10235,39
10235,40
10235,42
10235,47
10237,39
10237,40
10237,42
10237,47
10238,39
10238,40
10238,42
10238,47
10243,22
10243,23
10245,22
10245,23
10246,39
10246,40
10246,42
10248,39
10248,40
10248,42
10248,47
10250,22
10250,23
10252,39
10252,40
10252,42
10254,39
10254,40
10254,42
10254,47
10255,22
10255,23
10257,39
10257,40
10257,42
10260,39
10260,40
10260,42
10264,39
10264,40
10264,42
10265,39
10265,40
10265,42
10266,39
10266,40
10266,42
10266,47
10269,39
10269,40
10269,42
10269,47
10270,39
10270,40
10270,42
10270,47
10271,39
10271,40
10271,42
10271,47
10276,22
10276,23
10279,39
10279,40
10279,42
10280,39
10280,40
10280,42
10280,47
10282,39
10282,40
10282,42
10282,47
10284,22
10284,23
10287,22
10287,23
10289,39
10289,40
10289,42
10290,39
10290,40
10290,42
10291,39
10291,40
10291,42
10292,39
10292,40
10292,42
10292,47
10295,39
10295,40
10295,42
10296,39
10296,40
10296,42
10296,47
10299,39
10299,40
10299,42
10299,47
10302,22
10302,23
10303,39
10303,40
10303,42
10304,39
10304,40
10304,42
10304,47
10306,39
10306,40
10306,42
10306,47
10308,39
10308,40
10308,42
10308,47
10311,39
10311,40
10311,42
10311,47
10317,39
10317,40
10317,42
10318,39
10318,40
10318,42
10318,47
10320,39
10320,40
10320,42
10323,39
10323,40
10323,42
10323,47
10328,22
10328,23
10329,22
10329,23
10331,22
10331,23
10332,39
10332,40
10332,42
10332,47
10333,39
10333,40
10333,42
10333,47
10336,22
10336,23
10339,22
10339,23
10344,39
10344,40
10344,42
10344,47
10345,22
10345,23
10346,22
10346,23
10347,39
10347,40
10347,42
10347,47
10350,39
10350,40
10350,42
10351,39
10351,40
10351,42
10355,22
10355,23
10356,39
10356,40
10356,42
10357,22
10357,23
10359,39
10359,40
10359,42
10364,22
10364,23
10367,39
10367,40
10367,42
10368,39
10368,40
10368,42
10368,47
10369,22
10369,23
10372,39
10372,40
10372,42
10372,47
10373,39
10373,40
10373,42
10374,39
10374,40
10374,42
10377,22
10377,23
10378,39
10378,40
10378,42
10380,22
10380,23
10383,39
10383,40
10383,42
10387,22
10387,23
10390,22
10390,23
10391,39
10391,40
10391,42
10392,22
10392,23
10393,39
10393,40
10393,42
10393,47
10394,39
10394,40
10394,42
10394,47
10395,22
10395,23
10396,39
10396,40
10396,42
10397,42
10400,42
10403,39
10403,40
10403,42
10407,42
10420,22
10420,23
10426,39
10426,40
10426,42
10428,39
10428,40
10428,42
10428,47
10430,22
10430,23
10432,39
10432,40
10432,42
10432,47
10435,39
10435,40
10435,42
10437,39
10437,40
10437,42
10440,39
10440,40
10440,42
10440,47
10441,39
10441,40
10441,42
10442,39
10442,40
10442,42
10442,47
10443,39
