Station ID,Station Marketing Name,Company Name,Mailing address,Mailing address postal code,Phone,Street Address,Street address postal code,Municipality,County,Country,Fax,Bankgiro,Postgiro,Org. number,Branch ID,MSI number,Has real estate,Report / KPI Attendant,Customer number,Customer number logistic,EAN code,Retailer ID,Equipment ID,Customer no. Wholesaler,Uffe owner number,Direct category shipment,Ownership/OperationType,Previous owner/Operation,Date of change,Station type,Status,Unit,Category,Price profile,Cluster,In Operation from,In operation to,Engineer district,Sales zone,Always Open,Working Days,Saturdays,Sundays,X-Coord,Y-Coord,Services,Fuels,Display Name,Country Code
10103,STATOIL HASSERIS,Statoil A/S,Postboks 120,0900 København C,98182177,Hasseris Bymidte 2,9000 Ålborg,Aalborg Kommune,Region Nordjylland,Denmark,98183731,,,28142412,,840224,N,No / Yes,1003269008,9364233000,5790001326388,,,307208,,Medium,CO/CO,CO/CO,17-01-2001,Service Station,Active,Retail Station,Total Store,,Urban Main Road,,,Anker Olesen,DK Vest,,06.00-23.00,07.00-23.00,07.00-23.00,9.8840464361157,57.036830869958,"Car wash, Lounge, Wifi, Routex Atlas, Trailer rental, Simply Great Coffee","miles 92, miles 95, miles Diesel, milesPLUS Diesel",Statoil Hasseris,DK
10104,1-2-3 AALBORG,Ålborg Bilplejecenter,Jyllandsgade 22,9000 Ålborg,80200123,Jyllandsgade 22,9000 Ålborg,Aalborg Kommune,Region Nordjylland,Denmark,,,,28142412,,,Y,No / No,1003269011,9364001000,5790001326395,,,,,,CO/CO,CO/DO,11-06-2001,Automat,Active,Retail Station,1-2-3,,,,,Anker Olesen,DK JET,00.00-24.00,,,,9.9262212608304,57.042258619817,Routex Atlas,"Blyfri 92, Blyfri 95,  ,  ",Statoil 1-2-3 Aalborg,DK
10105,"STATOIL SØNDERBRO, AALBORG",Statoil A/S,Postboks 120,0900 København C,98134023,Sønderbro 24,9000 Ålborg,Aalborg Kommune,Region Nordjylland,Denmark,98134054,,,28142412,,840223,N,No / Yes,1003269014,9363300000,5790001326401,,,307209,,Medium,CO/CO,CO/CO,,Service Station,Active,Retail Station,Total Store,,Urban Suburb,,,Anker Olesen,DK Vest,,06.00-24.00,07.00-24.00,07.00-24.00,9.9313267079863,57.039384553290,"Car wash, Routex Atlas, Trailer rental, Simply Great Coffee","miles 92, miles 95, miles Diesel","Statoil Sønderbro, Aalborg",DK
10107,1-2-3 BYLDERUP-BOV,,Bygaden 29,6372 Bylderup Bov,80200123,Bygaden 29,6372 Bylderup Bov,Aabenraa Kommune,Region Syddanmark,Denmark,,,,28142412,,,N,No / No,1003269022,9361874000,5790001326418,,,,,,CO/CO,DO/DO,10-04-2002,Automat,Active,Retail Station,1-2-3,,,,,Anker Olesen,DK JET,00.00-24.00,,,,9.0840273060424,54.939641561731,Routex Atlas,"Blyfri 92, Blyfri 95,  ",Statoil 1-2-3 Bylderup-bov,DK
10108,STATOIL 1-2-3 TINGLEV,,Flensborg Landevej 6,6360 Tinglev,74644116,Flensborg Landevej 6,6360 Tinglev,Aabenraa Kommune,Region Syddanmark,Denmark,74644134,,,27340520,,,N,No / No,1005608116,9361866000,5790001869120,,,,,,DO/DO,/,01-09-2012,Automat,Active,Retail Station,Statoil Lavpris Automat,,,,,Anker Olesen,DK Vest,00.00-24.00,,,,9.2376542112572,54.931531935627,Routex Atlas,"Blyfri 92, Blyfri 95,  ",Statoil 1-2-3 Tinglev,DK
10111,STATOIL TØNDER,Statoil A/S,Postboks 120,0900 København C,74721513,Ndr. Landevej 8,6270 Tønder,Tønder Kommune,Region Syddanmark,Denmark,74727498,,,28142412,,840009,Y,No / Yes,1003269028,9363995000,5790001326432,,,307136,,Medium,CO/CO,CO/CO,01-03-2000,Service Station,Active,Retail Station,Statoil Servicenter,,Countryside,,,Anker Olesen,DK Vest,,06.00-23.00,07.00-23.00,07.00-23.00,8.8753744241653,54.948049405956,"Car wash, Routex Atlas, Simply Great Coffee","miles 92, miles 95, miles Diesel",Statoil Tønder,DK
10116,TRUCKANLÆG KVISTGÅRD,.,Heilbergsvej 21,3400 Hillerød,70 135 135,Oldenvej 35C,3490 Kvistgård,Helsingør Kommune,Region Hovedstaden,Denmark,10383,,,,,,N,No / Yes,4711545001,,,,,,,,CO/CO,CO/CO,,Truck,Active,Energy,TRUCK,,,,,Per Buchholz,DK JET,00.00-24.00,,,,12.493875174309,55.994820616310,"Routex Atlas, TruckDiesel Network","AdBlue Fuel, miles Diesel",Statoil Truckanlæg Kvistgård,DK
10117,INGO SØNDERBORG,.,,,8020 8088,Åbenråvej 1,6400 Sønderborg,Sønderborg Kommune,Region Syddanmark,Denmark,,,,28142412,,,N,No / No,1003269031,9361890000,5790001326449,,,,,,CO/CO,CO/DO,01-10-2003,Accepterer Statoil-kort,Active,Retail Station,INGO,,,,,Hans Willy Due,DK JET,00.00-24.00,,,,9.7741450599377,54.910981447531,Routex Atlas,"Blyfri 92, Blyfri 95,  ",INGO Sønderborg,DK
10120,STATOIL GAMMELBY RINGVEJ,Statoil A/S,Postboks 120,0900 København C,75129135,Gammelby Ringvej 13,6700 Esbjerg,Esbjerg Kommune,Region Syddanmark,Denmark,75129722,,,28142412,,840152,N,No / Yes,1003269034,9362021000,5790001326456,,,307142,,Small,CO/CO,CO/CO,,Service Station,Active,Retail Station,Total Store,,Urban Main Road,,,Anker Olesen,DK Vest,,06.00-22.00,07.00-22.00,08.00-22.00,8.4683600000000,55.46292,"Car wash, Routex Atlas, TruckDiesel Network, Truck parking, Simply Great Coffee","AdBlue Fuel, miles 92, miles 95, miles Diesel, milesPLUS Diesel",Statoil Gammelby Ringvej,DK
10124,"STATOIL NÆSTVEDVEJ, VORDINGBORG",v/PE Kaasing I/S,Næstvedvej 38,4760 Vordingborg,55372076,Næstvedvej 36-38,4760 Vordingborg,Vordingborg Kommune,Region Sjælland,Denmark,55341937,,,32758541,,840109,N,No / No,1004929093,9361221000,5790001721626,,,307100,,Medium,CO/DO,CO/DO,,Service Station,Active,Retail Station,Statoil Servicenter,,Urban Suburb,,,Per Buchholz,DK Øst,,05.30-22.00,07.00-22.00,07.00-22.00,11.897383456302,55.015826021707,"Car wash, Routex Atlas, Trailer rental, Simply Great Coffee","miles 92, miles 95, miles Diesel","Statoil Næstvedvej, Vordingborg",DK
