site_id,service_id
10103,7
10103,10
10103,15
10103,4
10103,2
10103,3
10104,4
10105,7
10105,4
10105,2
10105,3
10107,4
10108,4
10111,7
10111,4
10111,3
10116,4
10116,5
10117,4
10120,7
10120,4
10120,5
10120,9
10120,3
10124,7
10124,4
10124,2
10124,3
10128,7
10128,4
10128,3
10135,7
10135,4
10135,3
10140,7
10140,4
10140,3
10142,7
10142,10
10142,15
10142,4
10142,2
10142,3
10145,4
10146,7
10146,4
10146,2
10146,3
10151,7
10151,4
10151,2
10151,3
10154,4
10154,5
10155,7
10155,4
10155,3
10156,7
10156,4
10156,3
10157,7
10157,12
10157,4
10157,3
10158,4
10169,7
10169,4
10169,3
10171,7
10171,4
10171,2
10171,5
10171,3
10172,7
10172,4
10172,2
10172,3
10189,7
10189,4
10189,2
10189,3
10191,7
10191,4
10191,2
10191,3
10195,7
10195,4
10195,3
10198,4
10198,5
10199,4
10199,5
10201,7
10201,4
10201,3
10206,4
10208,4
10210,7
10210,10
10210,15
10210,4
10210,3
10212,7
10212,4
10212,5
10212,3
10213,7
10213,10
10213,15
10213,4
10213,3
10216,4
10224,4
10226,4
10228,7
10228,4
10228,2
10228,3
10229,7
10229,4
10229,3
10230,7
10230,12
10230,10
10230,15
10230,4
10230,3
10234,7
10234,4
10234,2
10234,3
10235,7
10235,10
10235,15
10235,4
10235,2
10235,3
10237,7
10237,4
10237,3
10238,7
10238,4
10238,3
10243,4
10245,4
10246,7
10246,4
10246,3
10248,7
10248,4
10248,5
10248,3
10250,4
10252,7
10252,4
10252,3
10254,7
10254,4
10254,2
10254,3
10255,4
10257,7
10257,4
10257,3
10260,7
10260,4
10260,2
10260,3
10264,7
10264,4
10264,2
10264,3
10265,7
10265,4
10265,6
10265,9
10265,3
10266,7
10266,4
10266,2
10266,3
10269,7
10269,4
10269,3
10270,7
10270,4
10270,3
10271,7
10271,4
10271,3
10276,4
10279,7
10279,4
10279,3
10280,7
10280,4
10280,3
10282,7
10282,4
10282,2
10282,3
10284,4
10287,4
10289,7
10289,4
10289,2
10289,3
10290,3
10291,7
10291,4
10291,2
10291,3
10292,7
10292,4
10292,5
10292,3
10295,7
10295,12
10295,4
10295,2
10295,3
10296,7
10296,4
10296,2
10296,3
10299,7
10299,4
10299,5
10299,3
10302,4
10303,7
10303,4
10303,2
10303,3
10304,7
10304,4
10304,2
10304,3
10306,7
10306,4
10306,3
10308,7
10308,10
10308,15
10308,4
10308,2
10308,5
10308,3
10311,4
10311,2
10311,3
10317,4
10317,3
10318,4
10318,3
10320,7
10320,4
10320,3
10323,7
10323,3
10328,4
10329,4
10331,4
10332,7
10332,4
10332,2
10332,3
10333,7
10333,4
10333,3
10336,4
10339,4
10344,7
10344,4
10344,2
10344,3
10346,4
10347,7
10347,4
10347,3
10350,11
10350,7
10350,4
10350,6
10350,5
10350,9
10350,3
10351,7
10351,4
10351,3
10355,4
10356,7
10356,4
10356,2
10356,3
10357,4
10359,7
10359,4
10359,2
10359,3
10364,4
10367,7
10367,4
10367,2
10367,5
10367,3
10368,7
10368,4
10368,2
10368,5
10368,3
10369,4
10372,7
10372,4
10372,3
10373,7
10373,4
10373,3
10374,7
10374,4
10374,3
10377,4
10378,7
10378,4
10378,3
10380,4
10383,7
10383,4
10383,5
10383,9
10383,3
10387,4
10390,4
10391,4
10391,3
10392,4
10393,7
10393,4
10393,2
10393,5
10393,9
10393,3
10394,7
10394,10
10394,15
10394,4
10394,3
10395,4
10396,4
10396,3
10397,4
10397,5
10400,7
10400,4
10400,5
10400,9
10403,7
10403,4
10403,3
10407,4
10407,5
10420,4
10426,7
10426,4
10426,2
10426,3
10428,11
10428,7
10428,4
10428,5
10428,3
10430,4
10432,4
10432,5
10432,3
10435,7
10435,4
10435,2
10435,3
10437,7
10437,4
10437,2
10437,3
10440,11
10440,7
10440,4
10440,3
10441,7
10441,4
10441,3
10442,4
10442,3
10443,7
10443,4
10443,2
10443,5
10443,3
10444,7
10444,4
10444,2
10444,5
10444,9
10444,3
10445,4
10450,4
10452,7
10452,4
10452,5
10452,3
10453,7
10453,4
10453,5
10453,3
10454,7
10454,2
10454,3
10456,4
10456,3
10457,7
10457,4
10457,2
10457,3
10458,7
10458,4
10458,2
10458,3
10459,4
10459,5
10459,3
10460,7
10460,4
10460,2
10460,5
10460,3
10461,7
10461,4
10461,3
10462,7
10462,4
10462,3
10464,7
10464,12
10464,4
10464,3
10465,4
10466,7
10466,4
10466,3
10467,7
10467,4
10467,2
10467,3
10468,4
10468,5
10469,7
10469,4
10469,3
10486,4
10486,5
10487,4
10491,4
10492,4
10494,4
10498,4
10498,5
10498,3
10499,4
10503,7
10503,4
10503,2
10503,3
10504,7
10504,4
10504,2
10504,3
10505,7
10505,4
10505,3
10506,4
10510,7
10510,3
10510,4
10510,2
10510,5
10511,7
10511,4
10511,2
10511,3
10518,7
10518,10
10518,15
10518,4
10518,3
10519,4
10521,7
10521,4
10521,2
10521,3
10522,7
10522,4
10522,3
10525,7
10525,4
10525,12
10525,2
10525,3
10526,4
10526,5
10530,7
10530,4
10530,3
10535,7
10535,2
10535,3
10543,4
10543,5
10553,7
10553,4
10553,3
10565,4
10567,7
10567,4
10567,3
10573,11
10573,7
10573,15
10573,10
10573,4
10573,5
10573,3
10585,4
10601,7
10601,10
10601,15
10601,4
10601,2
10601,5
10601,3
10603,7
10603,4
10603,3
10610,7
10610,10
10610,15
10610,4
10610,2
10610,5
10610,3
10615,7
10615,4
10615,3
10617,4
10622,7
10622,4
10622,3
10626,7
10626,4
10626,2
10626,3
10629,4
10629,5
10650,4
10650,5
10650,9
10653,7
10653,10
10653,15
10653,4
10653,2
10653,3
10656,7
10656,10
10656,15
10656,4
10656,2
10656,3
10659,4
10659,5
10659,9
10663,4
10663,6
10663,5
10663,9
10666,7
10666,10
10666,15
10666,4
10666,2
10666,5
10666,3
10667,7
10667,4
10667,2
10667,3
10670,7
10670,4
10670,2
10670,3
10674,7
10674,4
10674,2
10674,5
10674,3
10677,7
10677,4
10677,2
10677,3
10689,4
10689,5
10690,7
10690,4
10690,3
10692,7
10692,10
10692,15
10692,4
10692,2
10692,3
10694,7
10694,4
10694,3
10697,4
10697,5
10701,4
10701,5
10705,7
10705,4
10705,3
10708,7
10708,4
10708,2
10708,3
10724,7
10724,4
10724,5
10724,3
10725,7
10725,4
10725,5
10725,3
10729,7
10729,4
10729,3
10732,7
10732,4
10732,5
10732,3
10737,4
10737,5
10742,7
10742,4
10742,3
10747,4
10747,5
10749,4
10749,5
10750,7
10750,4
10750,3
10760,7
10760,4
10760,3
10765,7
10765,4
10765,2
10765,3
10766,4
10766,5
10770,10
10770,15
10770,4
10770,3
10771,7
10771,4
10771,3
10774,11
10774,7
10774,10
10774,15
10774,4
10774,6
10774,5
10774,3
10776,7
10776,4
10776,3
10777,4
10777,5
10779,7
10779,4
10779,3
10781,4
10781,5
10783,7
10783,4
10783,2
10783,3
10785,7
10785,4
10785,2
10785,3
10790,7
10790,4
10790,2
10790,3
10791,4
10791,5
10799,7
10799,4
10799,3
10801,7
10801,4
10801,2
10801,3
10802,7
10802,4
10802,2
10802,3
10807,7
10807,12
10807,4
10807,2
10807,5
10807,3
10809,7
10809,4
10809,2
10809,5
10809,3
10813,7
10813,4
10813,2
10813,3
10815,7
10815,10
10815,15
10815,4
10815,5
10815,3
10817,7
10817,4
10817,2
10817,3
10819,7
10819,4
10819,2
10819,3
10820,7
10820,4
10820,2
10820,3
10821,7
10821,4
10821,2
10821,3
10822,7
10822,4
10822,3
10828,7
10828,10
10828,15
10828,4
10828,3
10833,7
10833,4
10833,2
10833,3
10842,7
10842,4
10842,2
10842,3
10843,7
10843,4
10843,3
10844,11
10844,7
10844,10
10844,15
10844,4
10844,5
10844,3
10845,7
10845,10
10845,15
10845,4
10845,2
10845,5
10845,3
10846,7
10846,4
10846,2
10846,3
10847,7
10847,4
10847,5
10847,3
10848,7
10848,4
10848,3
10850,7
10850,4
10850,2
10850,3
10852,7
10852,4
10852,2
10852,3
10853,7
10853,10
10853,15
10853,4
10853,3
10855,7
10855,4
10855,2
10855,3
10860,7
10860,10
10860,15
10860,4
